epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.03137,1.36722,2.64319,1.20588,0.81183,0.82155,0.81633,0.46721,1.54679,1.47154,1.34567,0.00053344,0.00053344,0.00053344
2,14.7517,1.35556,1.03646,1.22718,0.74546,0.89061,0.88811,0.47028,1.52046,1.28818,1.43518,0.0010621,0.0010621,0.0010621
3,21.3509,1.3848,0.92181,1.28726,0.7313,0.54168,0.62579,0.34054,1.5738,3.90443,1.43232,0.00156897,0.00156897,0.00156897
4,27.9438,1.35849,0.86007,1.27407,0.86412,0.72088,0.82653,0.46843,1.55904,3.67947,1.5773,0.00156798,0.00156798,0.00156798
5,34.4522,1.33136,0.80464,1.24981,0.63568,0.83022,0.70288,0.42357,1.52136,3.74398,1.46487,0.00153497,0.00153497,0.00153497
6,41.0639,1.27163,0.77286,1.21047,0.71374,0.7156,0.77251,0.44458,1.28692,3.59332,1.31172,0.00150197,0.00150197,0.00150197
7,47.6567,1.27993,0.75259,1.23973,0.81913,0.92914,0.91395,0.58653,1.34372,0.90064,1.25657,0.00146896,0.00146896,0.00146896
8,54.3771,1.24218,0.70318,1.18599,0.88386,0.92247,0.92144,0.57929,1.32867,0.87166,1.26759,0.00143595,0.00143595,0.00143595
9,60.9895,1.29403,0.72719,1.21753,0.90707,0.95918,0.95516,0.60325,1.29601,0.75936,1.31116,0.00140295,0.00140295,0.00140295
10,67.6747,1.29699,0.72704,1.22209,0.96946,0.96265,0.98267,0.61494,1.27309,0.65915,1.25312,0.00136994,0.00136994,0.00136994
11,74.2906,1.26587,0.69979,1.21056,0.88384,0.95309,0.94858,0.59089,1.2159,0.69537,1.21293,0.00133693,0.00133693,0.00133693
12,80.9677,1.19369,0.66239,1.15429,0.95515,0.96939,0.97444,0.61893,1.37823,0.67521,1.25589,0.00130393,0.00130393,0.00130393
13,87.5671,1.22317,0.66114,1.18555,0.95972,0.93878,0.96305,0.60329,1.38365,0.68433,1.2541,0.00127092,0.00127092,0.00127092
14,94.2321,1.20724,0.64399,1.17242,0.96927,0.96329,0.97834,0.64344,1.1442,0.60921,1.18103,0.00123791,0.00123791,0.00123791
15,100.892,1.19625,0.64954,1.16453,0.95816,0.9898,0.97836,0.65745,1.18985,0.58714,1.19462,0.00120491,0.00120491,0.00120491
16,107.481,1.18397,0.63241,1.15142,0.94521,0.96939,0.98079,0.63581,1.21997,0.60462,1.20923,0.0011719,0.0011719,0.0011719
17,114.073,1.1589,0.622,1.14472,0.96117,0.96939,0.98726,0.62524,1.36573,0.59964,1.21829,0.00113889,0.00113889,0.00113889
18,120.739,1.16835,0.61436,1.1811,0.9445,0.95531,0.95975,0.61163,1.29817,0.61051,1.25173,0.00110589,0.00110589,0.00110589
19,127.241,1.17575,0.62542,1.13921,0.97185,0.95918,0.97402,0.63432,1.13976,0.58836,1.18094,0.00107288,0.00107288,0.00107288
20,133.836,1.10701,0.59915,1.13591,0.98566,0.96939,0.99001,0.64704,1.39915,0.58094,1.21619,0.00103987,0.00103987,0.00103987
21,140.377,1.12764,0.57724,1.12332,0.96861,0.95918,0.97859,0.66419,1.2185,0.57236,1.19298,0.00100687,0.00100687,0.00100687
22,146.957,1.13393,0.58504,1.12778,0.93918,0.96642,0.97354,0.64991,1.22759,0.57213,1.20485,0.000973861,0.000973861,0.000973861
23,153.54,1.10551,0.57892,1.11679,0.9389,0.98843,0.97493,0.64727,1.28516,0.57308,1.23404,0.000940855,0.000940855,0.000940855
24,160.195,1.09256,0.56665,1.11023,0.96873,0.97959,0.9807,0.66897,1.2987,0.57153,1.20633,0.000907848,0.000907848,0.000907848
25,166.769,1.08674,0.56161,1.12549,0.97793,0.9898,0.98526,0.67375,1.25442,0.56565,1.22,0.000874842,0.000874842,0.000874842
26,173.368,1.08901,0.55954,1.11106,0.96845,0.9898,0.98067,0.67099,1.28829,0.55373,1.20194,0.000841835,0.000841835,0.000841835
27,179.937,1.08622,0.54064,1.1173,0.97716,0.97883,0.98423,0.65349,1.21874,0.53839,1.19528,0.000808828,0.000808828,0.000808828
28,186.518,1.04715,0.53562,1.10379,0.97956,0.9898,0.9839,0.69084,1.20528,0.50539,1.17009,0.000775822,0.000775822,0.000775822
29,193.123,1.11972,0.54441,1.12735,0.99361,0.97959,0.99351,0.67204,1.24914,0.52861,1.19284,0.000742815,0.000742815,0.000742815
30,199.674,1.04083,0.52759,1.07378,0.98626,0.96939,0.98511,0.6834,1.23413,0.50853,1.20039,0.000709809,0.000709809,0.000709809
31,206.249,1.05424,0.52373,1.08847,0.97365,0.9898,0.98539,0.68214,1.26239,0.5246,1.22186,0.000676802,0.000676802,0.000676802
32,212.751,1.02209,0.51467,1.09142,0.98542,0.96939,0.98571,0.68641,1.22809,0.54891,1.18156,0.000643795,0.000643795,0.000643795
33,219.347,1.03954,0.51406,1.07738,0.98765,0.96939,0.98666,0.70371,1.1726,0.49357,1.17656,0.000610789,0.000610789,0.000610789
34,225.654,1.03364,0.5121,1.06432,0.98642,0.96939,0.98207,0.65995,1.30017,0.51834,1.22897,0.000577782,0.000577782,0.000577782
35,231.858,0.98576,0.50083,1.07312,0.97832,0.98783,0.98719,0.6896,1.29829,0.5547,1.24064,0.000544776,0.000544776,0.000544776
36,238.126,1.01617,0.50384,1.07633,0.98724,0.96939,0.98432,0.69521,1.2055,0.49989,1.21049,0.000511769,0.000511769,0.000511769
37,244.395,0.96562,0.48557,1.04171,0.98472,0.9787,0.98491,0.68951,1.15909,0.49515,1.187,0.000478762,0.000478762,0.000478762
38,250.63,0.95284,0.47939,1.03023,0.98472,0.98918,0.98504,0.69649,1.1889,0.51841,1.19546,0.000445756,0.000445756,0.000445756
39,256.893,0.95963,0.48456,1.05428,0.98447,0.98577,0.98559,0.71067,1.17697,0.51027,1.20114,0.000412749,0.000412749,0.000412749
40,263.211,1.01518,0.48618,1.07082,0.98746,0.96939,0.98544,0.70298,1.15203,0.47323,1.18865,0.000379743,0.000379743,0.000379743
41,286.457,0.95596,0.44346,1.06383,0.98408,0.97909,0.98518,0.69644,1.1008,0.45279,1.15478,0.000346736,0.000346736,0.000346736
42,292.602,0.9512,0.4398,1.04045,0.98442,0.97879,0.98665,0.69485,1.21785,0.47839,1.17739,0.000313729,0.000313729,0.000313729
43,298.938,0.94221,0.43409,1.02942,0.98457,0.97877,0.98659,0.70198,1.19028,0.47509,1.16042,0.000280723,0.000280723,0.000280723
