epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.9995,1.51589,3.75609,1.21102,0.48203,0.4509,0.35695,0.1879,1.41709,2.28344,1.06875,7.272e-05,7.272e-05,7.272e-05
2,18.3822,1.38944,1.64391,1.10852,0.6034,0.66198,0.52566,0.3145,1.38224,1.69246,1.05475,0.000153,0.000153,0.000153
3,30.7046,1.30976,1.26635,1.08704,0.59272,0.70857,0.64129,0.3751,1.33791,1.76228,1.06911,0.00023166,0.00023166,0.00023166
4,40.2932,1.2892,1.11314,1.06573,0.723,0.56707,0.71774,0.42955,1.37033,1.17927,1.10677,0.000308701,0.000308701,0.000308701
5,53.9021,1.26442,1.08384,1.07373,0.64684,0.60969,0.52895,0.31034,1.47425,1.36056,1.17239,0.000384122,0.000384122,0.000384122
6,62.852,1.29772,1.04523,1.06164,0.42743,0.56311,0.40289,0.2212,1.57601,2.73843,1.23109,0.000457922,0.000457922,0.000457922
7,70.5166,1.22948,0.94761,1.05566,0.08805,0.15161,0.04551,0.02556,2.33705,inf,2.89506,0.000530103,0.000530103,0.000530103
8,77.5249,1.26905,0.95424,1.07777,0.1604,0.39699,0.10012,0.05551,1.73604,21.5631,1.809,0.000600664,0.000600664,0.000600664
9,85.0071,1.28131,0.86081,1.04662,0.71333,0.51819,0.60691,0.30526,1.61693,1.23373,1.25355,0.000669606,0.000669606,0.000669606
10,91.9943,1.26958,0.86059,1.06564,0.72018,0.72506,0.76484,0.44067,1.45989,1.20171,1.19272,0.000736927,0.000736927,0.000736927
11,100.692,1.2715,0.84198,1.0381,0.69153,0.79042,0.75829,0.44408,1.54984,1.35784,1.20909,0.000802629,0.000802629,0.000802629
12,112.781,1.2653,0.83057,1.045,0.67566,0.83764,0.73168,0.41758,1.55623,1.95379,1.26314,0.00081001,0.00081001,0.00081001
13,119.635,1.21847,0.83183,1.04806,0.69359,0.72508,0.73329,0.42718,1.50359,1.34932,1.24146,0.000801011,0.000801011,0.000801011
14,127.651,1.18696,0.82002,1.0207,0.73585,0.7273,0.78779,0.46171,1.50422,1.52919,1.21186,0.000792012,0.000792012,0.000792012
15,134.74,1.20498,0.80104,1.02442,0.65082,0.83264,0.79263,0.47089,1.48564,1.55815,1.18425,0.000783013,0.000783013,0.000783013
16,145.503,1.2228,0.75963,1.0573,0.75987,0.74747,0.73219,0.4565,1.60718,1.48357,1.26417,0.000774013,0.000774013,0.000774013
