epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53707,1.8167,2.809,6.69725,1.53191,0,0,0,0,0,0,0,0,1.36414,1.41286,4.99505,1.64048,0,0,0
2,4.37452,2.21264,3.04476,6.50973,1.61439,0,0,0,0,0,0,0,0,1.39232,1.42964,5.02512,1.65078,1.63399e-05,1.63399e-05,1.63399e-05
3,4.8515,1.81131,2.31289,6.01853,1.4549,0,0,0,0,0,0,0,0,1.4056,1.43847,5.01125,1.65143,3.20197e-05,3.20197e-05,3.20197e-05
4,5.18988,2.25116,3.26732,7.34389,1.85309,0,0,0,0,0,0,0,0,1.42272,1.4556,4.98899,1.64955,4.70394e-05,4.70394e-05,4.70394e-05
5,5.54321,2.11781,4.12384,6.93356,1.82274,0,0,0,0,0,0,0,0,1.46931,1.469,5.02428,1.666,6.13989e-05,6.13989e-05,6.13989e-05
6,6.0057,2.26355,4.4651,6.34726,1.70857,0.01163,0.5,0.05528,0.04975,0.01163,0.5,0.05528,0.04422,1.59658,1.65917,4.18949,1.44984,7.50984e-05,7.50984e-05,7.50984e-05
7,6.61653,1.08386,2.14604,4.70429,1.12556,0.00602,0.5,0.0995,0.0995,0.00833,1,0.12211,0.09633,1.5922,1.02065,3.27419,1.32388,8.81376e-05,8.81376e-05,8.81376e-05
8,7.21703,1.19289,1.69345,4.22716,1.1619,0.93072,0.5,0.4975,0.44775,0.93072,0.5,0.52119,0.45249,1.31812,0.87061,2.46263,1.2996,0.000100517,0.000100517,0.000100517
9,7.86651,1.12245,1.19023,2.60781,1.13163,0.92304,0.5,0.50291,0.49804,0.92304,0.5,0.50935,0.40155,1.59686,0.91904,2.5484,1.47637,0.000112236,0.000112236,0.000112236
10,8.49238,1.05589,1.64812,2.34258,1.06924,0.98595,0.5,0.53304,0.4513,0.98595,0.5,0.53304,0.40866,1.35236,0.70776,1.79487,1.25945,0.000123295,0.000123295,0.000123295
11,9.09066,1.12775,1.24233,2.27346,0.99052,0.98639,0.5,0.995,0.54725,0.98639,0.5,0.995,0.45117,1.17773,0.58657,1.8036,1.3706,0.000133693,0.000133693,0.000133693
12,9.76193,1.13353,1.9979,1.91413,1.15189,0.75759,1,0.995,0.54725,0.75759,1,0.995,0.44959,1.25615,0.64473,1.79353,1.32438,0.000143432,0.000143432,0.000143432
13,10.3801,1.02227,1.42766,2.48075,1.15514,0.79723,1,0.995,0.59875,0.79723,1,0.995,0.55074,1.37505,1.02816,1.86062,1.31708,0.00015251,0.00015251,0.00015251
14,10.9931,1.21464,1.62912,2.01766,0.90404,0.81856,1,0.995,0.55108,0.81856,1,0.995,0.56256,1.42951,1.06588,2.3428,1.25274,0.000160929,0.000160929,0.000160929
15,11.6115,1.10799,1.3947,1.49714,0.97286,0.74988,1,0.995,0.74625,0.74988,1,0.995,0.597,1.06888,0.8008,1.89157,1.12574,0.000168687,0.000168687,0.000168687
16,12.27,1.2217,1.39091,1.50743,0.83114,0.59267,1,0.995,0.94525,0.59267,1,0.995,0.74759,0.58318,0.57923,1.67388,1.03528,0.000175785,0.000175785,0.000175785
17,12.8991,0.9423,1.27134,1.64921,0.83265,0.43768,1,0.995,0.796,0.43768,1,0.995,0.62187,0.84804,0.5931,1.52082,1.0408,0.000182223,0.000182223,0.000182223
18,13.4799,1.13859,1.26031,1.70587,0.90355,0.43768,1,0.995,0.796,0.43768,1,0.995,0.62187,0.84804,0.5931,1.52082,1.0408,0.000188001,0.000188001,0.000188001
19,14.107,1.2488,1.59519,1.30655,0.92543,0.71242,1,0.995,0.62602,0.71242,1,0.995,0.56421,1.16243,0.82701,1.59471,1.09386,0.000193119,0.000193119,0.000193119
20,14.6467,0.83747,1.24141,1.33101,0.87462,0.71242,1,0.995,0.62602,0.71242,1,0.995,0.56421,1.16243,0.82701,1.59471,1.09386,0.000197576,0.000197576,0.000197576
21,15.2622,1.01491,0.65561,1.46711,0.83221,0.65384,1,0.995,0.64675,0.65384,1,0.995,0.54725,1.10276,1.04509,1.39223,1.10138,0.000201374,0.000201374,0.000201374
22,15.8793,0.78039,1.14461,1.10736,0.81013,0.65384,1,0.995,0.64675,0.65384,1,0.995,0.54725,1.10276,1.04509,1.39223,1.10138,0.000204511,0.000204511,0.000204511
23,16.4939,0.95471,0.84198,1.28832,0.90013,0.53903,1,0.995,0.6965,0.53903,1,0.995,0.5477,1.02043,0.99702,1.33356,1.10265,0.000206988,0.000206988,0.000206988
24,17.0818,1.15395,1.46355,1.38541,0.92135,0.53903,1,0.995,0.6965,0.53903,1,0.995,0.5477,1.02043,0.99702,1.33356,1.10265,0.000208805,0.000208805,0.000208805
25,17.7253,0.79786,2.71516,1.34557,0.89035,0.51322,1,0.995,0.6965,0.51322,1,0.995,0.597,0.87057,0.77544,1.28041,1.0794,0.000209962,0.000209962,0.000209962
26,18.3073,1.07628,1.28749,1.34748,0.94358,0.51322,1,0.995,0.6965,0.51322,1,0.995,0.597,0.87057,0.77544,1.28041,1.0794,0.000210459,0.000210459,0.000210459
