epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.61215,1.39213,2.62994,1.16111,0.88049,0.87392,0.93054,0.49736,1.38413,1.52251,1.2124,0.00035007,0.00035007,0.00035007
2,11.8858,1.26289,0.9472,1.13878,0.7723,0.69258,0.79719,0.42145,1.48321,3.89176,1.39945,0.000702617,0.000702617,0.000702617
3,17.0166,1.23789,0.83216,1.1291,0.95768,0.90796,0.96637,0.60487,1.28628,1.22117,1.25236,0.00104064,0.00104064,0.00104064
4,22.028,1.24527,0.75086,1.12065,0.87514,0.75867,0.86237,0.50242,1.34947,1.0967,1.28729,0.00136414,0.00136414,0.00136414
5,27.0422,1.25411,0.75929,1.13708,0.79097,0.73481,0.78598,0.3786,1.63728,1.71923,1.54894,0.00153497,0.00153497,0.00153497
6,32.0705,1.25603,0.73454,1.1512,0.94698,0.94645,0.98353,0.59644,1.32788,1.49608,1.34077,0.00150197,0.00150197,0.00150197
7,37.0299,1.23834,0.70852,1.13466,0.89621,0.88525,0.93769,0.54509,1.36013,1.14985,1.42445,0.00146896,0.00146896,0.00146896
8,42.0142,1.19933,0.68205,1.11926,0.95563,0.94556,0.98387,0.6001,1.36185,0.97184,1.38257,0.00143595,0.00143595,0.00143595
9,47.0273,1.19483,0.68053,1.15101,0.92706,0.86284,0.96278,0.59426,1.30167,0.83667,1.29781,0.00140295,0.00140295,0.00140295
10,52.0562,1.1944,0.64436,1.12379,0.98557,0.9902,0.99462,0.64031,1.24234,0.67639,1.28145,0.00136994,0.00136994,0.00136994
11,57.1015,1.18983,0.65329,1.12596,0.98579,1,0.99337,0.65051,1.24142,0.59826,1.2533,0.00133693,0.00133693,0.00133693
12,62.1403,1.19111,0.64999,1.11303,0.98102,0.97707,0.98811,0.60274,1.22925,0.6141,1.25053,0.00130393,0.00130393,0.00130393
13,67.1325,1.13209,0.61909,1.09872,0.94601,0.9902,0.98079,0.62155,1.34455,0.62016,1.30822,0.00127092,0.00127092,0.00127092
14,72.1299,1.13205,0.61256,1.08953,0.95169,0.9902,0.98066,0.65104,1.27807,0.60876,1.26623,0.00123791,0.00123791,0.00123791
15,77.1566,1.14098,0.61037,1.09166,0.98598,0.98858,0.99262,0.64928,1.26818,0.56327,1.28549,0.00120491,0.00120491,0.00120491
16,82.1613,1.11095,0.584,1.08669,0.98538,0.98039,0.99413,0.64869,1.24556,0.55933,1.22237,0.0011719,0.0011719,0.0011719
17,87.2127,1.09348,0.588,1.07284,0.98127,0.9341,0.98789,0.63862,1.22308,0.69273,1.21415,0.00113889,0.00113889,0.00113889
