epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75749,1.65452,3.72156,4.75472,1.5992,0.0024,0.125,0.00371,0.00074,0.0024,0.125,0.00371,0.00074,1.58532,2.75799,5.27002,1.50029,0,0,0
2,3.42417,1.60725,3.21219,5.12264,1.60946,0.003,0.125,0.00409,0.00089,0.003,0.125,0.00409,0.00089,1.58239,2.75589,5.3133,1.50886,1.63399e-05,1.63399e-05,1.63399e-05
3,3.9601,1.64395,2.22922,4.99223,1.6533,0.00397,0.125,0.00422,0.00092,0.00397,0.125,0.00422,0.00092,1.59668,2.75641,5.28896,1.51394,3.20197e-05,3.20197e-05,3.20197e-05
4,4.44941,1.62521,3.34535,5.13461,1.62777,0.00558,0.125,0.0046,0.001,0.00558,0.125,0.0046,0.001,1.61423,2.75995,5.26443,1.52105,4.70394e-05,4.70394e-05,4.70394e-05
5,4.90105,1.6324,3.53529,7.39435,1.55159,0.00573,0.125,0.00476,0.00104,0.00573,0.125,0.00476,0.00104,1.62427,2.76183,5.28447,1.52402,6.13989e-05,6.13989e-05,6.13989e-05
6,5.35683,1.61573,3.12833,4.79359,1.59859,0.00661,0.125,0.00526,0.0016,0.00661,0.125,0.00526,0.0016,1.64318,2.76497,5.27092,1.53421,7.50984e-05,7.50984e-05,7.50984e-05
7,5.80983,1.61867,3.40334,5.03874,1.57957,0.34833,0.39334,0.47362,0.4176,0.34833,0.39334,0.47362,0.37902,1.44249,2.28612,3.7369,1.28135,8.81376e-05,8.81376e-05,8.81376e-05
8,6.47724,1.23474,2.54537,3.36006,1.27538,0.65965,0.61986,0.71316,0.51928,0.65965,0.61986,0.71316,0.50658,1.24886,2.03023,2.55877,1.06432,0.000100517,0.000100517,0.000100517
9,7.14217,1.16297,2.07596,2.90251,1.255,0.54939,0.58396,0.8483,0.584,0.54939,0.58396,0.8483,0.54599,1.18133,1.90254,2.56937,1.05922,0.000112236,0.000112236,0.000112236
10,7.81514,0.99106,1.80104,2.09572,1.06241,0.86679,0.75,0.91018,0.6515,0.86679,0.75,0.91018,0.61162,1.13163,1.92057,2.52392,1.16688,0.000123295,0.000123295,0.000123295
11,8.48201,1.38755,2.70784,2.55065,1.33541,0.76125,0.98546,0.87893,0.63289,0.76125,0.98546,0.87893,0.61086,1.08458,1.75185,2.99008,1.14128,0.000133693,0.000133693,0.000133693
12,9.14149,0.81761,1.26211,1.90716,1.03266,0.71637,1,0.90125,0.64506,0.71637,1,0.90125,0.64367,0.97164,1.66502,3.31332,1.03143,0.000143432,0.000143432,0.000143432
13,9.82318,1.01443,1.50633,1.79566,1.07617,0.68559,1,0.86306,0.69133,0.68559,1,0.86306,0.66127,0.89057,1.6719,3.09198,1.04697,0.00015251,0.00015251,0.00015251
14,10.4947,0.80198,1.23162,1.42532,1.01148,0.7939,0.85915,0.91545,0.72721,0.7939,0.85915,0.91545,0.67009,0.85433,1.80166,2.96885,1.05354,0.000160929,0.000160929,0.000160929
15,11.1587,0.82362,1.11522,1.50582,1.05009,0.90526,0.85403,0.92,0.68195,0.90526,0.85403,0.92,0.6508,0.88425,2.18389,2.58502,1.05223,0.000168687,0.000168687,0.000168687
16,11.7791,0.79295,1.51222,1.73005,1.06145,0.85622,0.875,0.90846,0.60624,0.85622,0.875,0.90846,0.61809,1.08546,2.5319,2.39533,1.07619,0.000175785,0.000175785,0.000175785
17,12.4032,0.73923,1.33992,1.301,0.94571,0.74135,0.875,0.89083,0.62099,0.74135,0.875,0.89083,0.65006,0.99484,2.35707,2.4272,0.97604,0.000182223,0.000182223,0.000182223
18,13.0088,0.65108,1.24453,1.38652,0.9451,0.74135,0.875,0.89083,0.62099,0.74135,0.875,0.89083,0.65006,0.99484,2.35707,2.4272,0.97604,0.000188001,0.000188001,0.000188001
19,13.6346,0.76202,1.16191,1.34948,1.01066,0.9289,0.85119,0.95333,0.7497,0.9289,0.85119,0.95333,0.7072,1.02266,2.05255,2.31417,0.99314,0.000193119,0.000193119,0.000193119
